Year,Location grown,State,Species,Height (ft),Height (m),Notes
2010,Mahopac,New York,Norway spruce,74,23,"November 30, 2010"
2011,Mifflinville,Pennsylvania,Norway spruce,74,23,"November 30, 2011"
2012,Flanders,New Jersey,Norway spruce,80,24,"November 28, 2012"
2013,Shelton,Connecticut,Norway spruce,76,23,"December 4, 2013"
2014,Danville,Pennsylvania,Norway spruce,85,26,"December 3, 2014"
2015,Gardiner,New York,Norway spruce,78,24,"December 2, 2015"
2016,Oneonta,New York,Norway spruce,94,29,"November 30, 2016"
2017,State College,Pennsylvania,Norway spruce,75,23,"November 29, 2017"
2018,Wallkill,New York,Norway spruce,72,22,"November 28, 2018"
2019,Florida,New York,Norway spruce,77,23,"December 4, 2019"
2020,Oneonta,New York,Norway spruce,75,23,"December 2, 2020"
2021,Elkton,Maryland,Norway spruce,79,24,"December 1, 2021"
2022,Queensbury,New York,Norway spruce,82,25,"November 30, 2022 / 50,000 LED lights & Swarovski crystal star"
